"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type","date_ym","생활물가지수","식품","식품_이외","전월세","전월세포함_생활물가지수","생활물가지수_up","식품_up","식품_이외_up","전월세_up","전월세포함_생활물가지수_up","Dubai","Brent","WTI","구름많음","구름조금","눈","맑음","비","흐림","min_Temperature_sum","max_Temperature_sum","Precipitation_sum","snow_sum","date_end","before_count","agenda1"
20170411,69,111191,103800,114800,1,1,0,1,121.12,"energy_total_location_out",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,390.12,403.76,383.44,1,2,0,0,2,0,49.8,107.4,1,0,0,12436,0
20170411,12213,124888,126200,122500,1,1,1,0,74.88,"energy_total_location_in",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,390.12,403.76,383.44,1,2,0,0,2,0,49.8,107.4,1,0,0,69,0
20170413,986,113770,105800,114000,1,1,0,1,121.12,"energy_total_location_out",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,390.12,402.58,383.06,0,1,0,1,0,0,15.1,36,0,0,0,12213,0
20170413,13035,123513,119100,125100,1,1,1,0,74.88,"energy_total_location_in",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,390.12,402.58,383.06,0,1,0,1,0,0,15.1,36,0,0,0,986,0
20170418,409,110646,108900,112100,1,1,0,1,121.12,"energy_total_location_out",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,379.72,392.38,374.65,0,1,0,0,3,1,54.5,101.8,19,0,0,13035,0
20170418,18099,124176,120000,125100,1,1,1,0,74.88,"energy_total_location_in",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,379.72,392.38,374.65,0,1,0,0,3,1,54.5,101.8,19,0,0,409,0
20170420,1079,112034,108000,118800,1,1,0,1,121.12,"energy_total_location_out",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,368.93,379.89,360.39,0,0,0,1,1,0,16.9,36.6,0.1,0,0,18099,0
20170420,21180,127628,122100,130000,1,1,1,0,74.88,"energy_total_location_in",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,368.93,379.89,360.39,0,0,0,1,1,0,16.9,36.6,0.1,0,0,1079,0
20170425,1543,114895,97800,118800,1,1,0,1,121.12,"energy_total_location_out",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,356.84,370.86,352.78,0,2,0,2,0,1,46.2,105.2,0,0,0,21180,0
20170425,14911,128072,117000,130000,1,1,1,0,74.88,"energy_total_location_in",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,356.84,370.86,352.78,0,2,0,2,0,1,46.2,105.2,0,0,0,1543,0
20170427,36,116800,116800,116800,1,1,0,1,121.12,"energy_total_location_out",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,353.98,364.03,346.55,0,0,0,2,0,0,18.4,40,0,0,0,14911,0
20170427,8113,125998,120000,130000,1,1,1,0,74.88,"energy_total_location_in",201704,103.02,106.13,101.46,104.29,103.31,-0.00310619297223847,-0.00668990860265719,-0.00108417110191208,0.00182184293796157,-0.00193592101442264,353.98,364.03,346.55,0,0,0,2,0,0,18.4,40,0,0,0,36,0
20170502,2860,120907,117600,121000,1,1,0,1,117.9180645,"energy_total_location_out",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,0,359.73,339.76,0,2,0,3,0,0,60.2,129.3,0,0,0,8113,0
20170502,11451,128288,118000,130500,1,1,1,0,78.34935484,"energy_total_location_in",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,0,359.73,339.76,0,2,0,3,0,0,60.2,129.3,0,0,0,2860,0
20170504,333,117782,110700,119300,1,1,0,1,117.9180645,"energy_total_location_out",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,0,344.08,323.73,1,0,0,1,0,0,29.3,57.7,0,0,0,11451,0
20170504,13040,129858,120000,131000,1,1,1,0,78.34935484,"energy_total_location_in",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,0,344.08,323.73,1,0,0,1,0,0,29.3,57.7,0,0,0,333,0
20170511,740,117285,110800,121000,1,1,0,1,117.9180645,"energy_total_location_out",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,354.22,362.29,341.31,1,1,0,2,2,1,90.1,160.8,5,0,0,13040,0
20170511,36987,129882,120000,130500,1,1,1,0,78.34935484,"energy_total_location_in",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,354.22,362.29,341.31,1,1,0,2,2,1,90.1,160.8,5,0,0,740,0
20170516,206,119246,112800,121800,1,1,0,1,117.9180645,"energy_total_location_out",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,361.65,365.61,344.44,1,1,0,1,1,1,65.8,106.8,6,0,0,36987,0
20170516,43153,132472,130000,133500,1,1,1,0,78.34935484,"energy_total_location_in",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,361.65,365.61,344.44,1,1,0,1,1,1,65.8,106.8,6,0,0,206,0
20170518,80,117000,117000,117000,1,1,0,1,117.9180645,"energy_total_location_out",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,358.76,369.39,347.16,0,0,0,2,0,0,26.2,52.8,0,0,0,43153,0
20170518,9305,132387,129500,134000,1,1,1,0,78.34935484,"energy_total_location_in",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,358.76,369.39,347.16,0,0,0,2,0,0,26.2,52.8,0,0,0,80,0
20170523,94,119032,115800,120800,1,1,0,1,117.9180645,"energy_total_location_out",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,367.55,380.48,361.65,0,3,0,1,1,0,79.6,135.2,5,0,0,9305,0
20170523,43385,132330,128000,133000,1,1,1,0,78.34935484,"energy_total_location_in",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,367.55,380.48,361.65,0,3,0,1,1,0,79.6,135.2,5,0,0,94,0
20170525,99,119633,119300,120800,1,1,0,1,117.9180645,"energy_total_location_out",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,374.01,364.65,346.51,0,0,0,1,1,0,31.3,52.2,0.1,0,0,43385,0
20170525,42430,132100,128100,133000,1,1,1,0,78.34935484,"energy_total_location_in",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,374.01,364.65,346.51,0,0,0,1,1,0,31.3,52.2,0.1,0,0,99,0
20170530,11,120700,120700,120700,1,1,0,1,117.9180645,"energy_total_location_out",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,355.64,365.23,349.87,1,1,0,3,0,0,77.2,137.1,0,0,0,42430,0
20170530,11530,130445,128000,132000,1,1,1,0,78.34935484,"energy_total_location_in",201705,103.04,106.19,101.44,104.55,103.38,0.000194099378882087,0.000565024955268879,-0.000197160883280718,0.00248684839789566,0.000677113561617268,355.64,365.23,349.87,1,1,0,3,0,0,77.2,137.1,0,0,0,11,0
20170601,473,115605,110800,120000,1,1,0,1,123.558,"energy_total_location_out",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,353.93,357.24,341.23,0,2,0,0,0,0,37.7,56.6,0,0,0,11530,0
20170601,14899,130037,125000,131000,1,1,1,0,82.15733333,"energy_total_location_in",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,353.93,357.24,341.23,0,2,0,0,0,0,37.7,56.6,0,0,0,473,0
20170608,2578,120791,110800,124000,1,1,0,1,123.558,"energy_total_location_out",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,332.18,337.76,322.09,0,3,0,2,2,0,107.8,179.5,28,0,0,14899,0
20170608,135260,132362,120000,133500,1,1,1,0,82.15733333,"energy_total_location_in",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,332.18,337.76,322.09,0,3,0,2,2,0,107.8,179.5,28,0,0,2578,0
20170613,114,115300,115300,115300,1,1,0,1,123.558,"energy_total_location_out",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,335,345.05,329.05,1,1,0,1,2,0,84.7,136.7,4.6,0,0,135260,0
20170613,2231,126757,125500,129000,1,1,1,0,82.15733333,"energy_total_location_in",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,335,345.05,329.05,1,1,0,1,2,0,84.7,136.7,4.6,0,0,114,0
20170615,268,115289,109800,118800,1,1,0,1,123.558,"energy_total_location_out",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,321.21,332.19,314.77,0,0,0,2,0,0,35.8,56.4,0,0,0,2231,0
20170615,16198,128969,119000,130000,1,1,1,0,82.15733333,"energy_total_location_in",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,321.21,332.19,314.77,0,0,0,2,0,0,35.8,56.4,0,0,0,268,0
20170620,48,118866,117700,120500,1,1,0,1,123.558,"energy_total_location_out",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,324.65,327.49,307.64,2,0,0,3,0,0,98.7,157.3,0,0,0,16198,0
20170620,73082,129341,123000,129500,1,1,1,0,82.15733333,"energy_total_location_in",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,324.65,327.49,307.64,2,0,0,3,0,0,98.7,157.3,0,0,0,48,0
20170622,61,112800,112800,112800,1,1,0,1,123.558,"energy_total_location_out",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,312.52,324.87,307.06,0,2,0,0,0,0,42.9,62,0,0,0,73082,0
20170622,3289,124159,120000,125000,1,1,1,0,82.15733333,"energy_total_location_in",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,312.52,324.87,307.06,0,2,0,0,0,0,42.9,62,0,0,0,61,0
20170627,5327,124708,110000,126100,1,1,1,0,82.15733333,"energy_total_location_in",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,321.52,333.09,315.88,1,1,0,0,3,0,104.7,150.7,34,0,0,3289,0
20170627,47820,128127,122500,130000,1,1,1,0,82.15733333,"energy_total_location_in",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,321.52,333.09,315.88,1,1,0,0,3,0,104.7,150.7,34,0,0,5327,0
20170629,163,115020,105800,117100,1,1,0,1,123.558,"energy_total_location_out",201706,103.07,106.39,101.39,104.71,103.44,0.000291064325215746,0.00187987592818877,-0.000493145280599637,0.001528029796581,0.000580046403712319,332.92,340.53,322.65,1,1,0,0,0,0,44.4,62,0,0,0,47820,0
20170704,7697,124933,124000,125000,1,1,1,0,76.04806452,"energy_total_location_in",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,348.79,357.29,0,0,1,0,0,4,0,112.2,147.4,160.5,0,0,163,0
20170706,192,112048,111900,112100,1,1,0,1,123.6919355,"energy_total_location_out",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,340.27,347.78,329.06,0,1,0,0,1,0,47.2,67.2,34,0,0,7697,0
20170706,11925,124849,124500,126000,1,1,1,0,76.04806452,"energy_total_location_in",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,340.27,347.78,329.06,0,1,0,0,1,0,47.2,67.2,34,0,0,192,0
20170711,369,116121,115900,117800,1,1,0,1,123.6919355,"energy_total_location_out",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,327.42,343.7,325.76,0,0,0,0,5,0,117.6,142.6,199,0,0,11925,0
20170711,19054,128048,124800,130000,1,1,1,0,76.04806452,"energy_total_location_in",201707,103.35,107.5,101.25,104.84,103.69,0.00270924044508951,0.0103255813953488,-0.00138271604938272,0.00123998473864946,0.00241103288648857,327.42,343.7,325.76,0,0,0,0,5,0,117.6,142.6,199,0,0,369,0
