"date","count","price","min_price","max_price","energy_sun","energy_general","location_in","location_out","SMP","type"
20160323,310,78238,77800,78500,1,1,0,1,84.26,"energy_total_location_out"
20160323,7932,93221,85000,99000,1,1,1,0,87.34,"energy_total_location_in"
20160406,2543,84291,79400,88300,1,1,0,1,77.25,"energy_total_location_out"
20160406,77135,104127,70100,111000,1,1,1,0,75.37,"energy_total_location_in"
20160414,1395,94347,81700,99200,1,1,0,1,77.25,"energy_total_location_out"
20160414,29639,105851,40000,120000,1,1,1,0,75.37,"energy_total_location_in"
20160420,2697,99441,78700,101400,1,1,0,1,77.25,"energy_total_location_out"
20160420,26586,109201,70000,120000,1,1,1,0,75.37,"energy_total_location_in"
20160427,229,89173,81700,90300,1,1,0,1,77.25,"energy_total_location_out"
20160427,25318,111253,75000,120100,1,1,1,0,75.37,"energy_total_location_in"
20160504,3251,97397,47700,112300,1,1,0,1,75.53,"energy_total_location_out"
20160504,85157,120563,70000,140000,1,1,1,0,68.72,"energy_total_location_in"
20160511,37,90800,90800,90800,1,1,0,1,75.53,"energy_total_location_out"
20160511,26619,123890,65000,135000,1,1,1,0,68.72,"energy_total_location_in"
20160518,511,87603,79700,105800,1,1,0,1,75.53,"energy_total_location_out"
20160518,30159,128626,65000,141000,1,1,1,0,68.72,"energy_total_location_in"
20160525,2843,115400,115400,115400,1,1,0,1,75.53,"energy_total_location_out"
20160525,22044,124004,91500,132000,1,1,1,0,68.72,"energy_total_location_in"
20160601,751,104737,102300,110700,1,1,0,1,82.62,"energy_total_location_out"
20160601,23316,118931,65000,129000,1,1,1,0,65.15,"energy_total_location_in"
20160610,36123,116956,65000,123000,1,1,1,0,65.15,"energy_total_location_in"
20160615,910,95420,56200,105000,1,1,0,1,82.62,"energy_total_location_out"
20160615,54982,119717,70000,127000,1,1,1,0,65.15,"energy_total_location_in"
20160622,2985,102376,101000,102400,1,1,0,1,82.62,"energy_total_location_out"
20160622,26167,121263,80000,130000,1,1,1,0,65.15,"energy_total_location_in"
20160629,10,65300,65300,65300,1,1,0,1,82.62,"energy_total_location_out"
20160629,35507,121115,89200,130000,1,1,1,0,65.15,"energy_total_location_in"
20160706,4693,103279,93700,114400,1,1,0,1,93.81,"energy_total_location_out"
20160706,99433,126060,75000,133000,1,1,1,0,66.79,"energy_total_location_in"
20160713,44982,122780,56700,111700,1,1,0,1,93.81,"energy_total_location_out"
20160713,90241,130522,80400,139000,1,1,1,0,66.79,"energy_total_location_in"
20160720,1772,92774,58700,111700,1,1,0,1,93.81,"energy_total_location_out"
20160720,59250,132314,82200,140000,1,1,1,0,66.79,"energy_total_location_in"
20160727,3399,114429,83800,121700,1,1,0,1,93.81,"energy_total_location_out"
20160727,82812,135605,81000,142000,1,1,1,0,66.79,"energy_total_location_in"
20160803,2752,118518,100700,122700,1,1,0,1,101.13,"energy_total_location_out"
20160803,72708,140828,100100,156000,1,1,1,0,71.43,"energy_total_location_in"
20160810,356,105400,105400,105400,1,1,0,1,101.13,"energy_total_location_out"
20160810,76468,145714,86000,154000,1,1,1,0,71.43,"energy_total_location_in"
20160819,317,96600,96600,96600,1,1,0,1,101.13,"energy_total_location_out"
20160819,2238,123286,80000,130000,1,1,1,0,71.43,"energy_total_location_in"
20160824,428,106750,93700,115700,1,1,0,1,101.13,"energy_total_location_out"
20160824,26342,130657,80000,139000,1,1,1,0,71.43,"energy_total_location_in"
20160831,736,107700,91700,111700,1,1,0,1,101.13,"energy_total_location_out"
20160831,24263,135488,89000,144000,1,1,1,0,71.43,"energy_total_location_in"
20160907,6060,121727,108800,133300,1,1,0,1,97.3,"energy_total_location_out"
20160907,164326,144804,81000,156000,1,1,1,0,71.3,"energy_total_location_in"
20160921,3869,124587,98700,141700,1,1,0,1,97.3,"energy_total_location_out"
20160921,128866,154505,87000,166100,1,1,1,0,71.3,"energy_total_location_in"
20160928,2534,139102,108700,150600,1,1,0,1,97.3,"energy_total_location_out"
20160928,65020,158244,107000,168000,1,1,1,0,71.3,"energy_total_location_in"
20161007,6040,155853,140000,160400,1,1,0,1,95.96,"energy_total_location_out"
20161007,116713,164875,95000,175000,1,1,1,0,73.27,"energy_total_location_in"
20161012,612,149315,140800,160600,1,1,0,1,95.96,"energy_total_location_out"
20161012,67871,174267,95100,186200,1,1,1,0,73.27,"energy_total_location_in"
20161019,968,152766,130200,158300,1,1,0,1,95.96,"energy_total_location_out"
20161019,32858,174217,121100,180500,1,1,1,0,73.27,"energy_total_location_in"
20161026,2031,137242,96800,160700,1,1,0,1,95.96,"energy_total_location_out"
20161026,34698,173136,93100,185100,1,1,1,0,73.27,"energy_total_location_in"
20161102,379,140514,138900,145000,1,1,0,1,98.21,"energy_total_location_out"
20161102,2868,154633,85000,165000,1,1,1,0,74.83,"energy_total_location_in"
20161109,6245,144250,103000,155000,1,1,1,0,74.83,"energy_total_location_in"
20161116,142,116770,101700,121700,1,1,0,1,98.21,"energy_total_location_out"
20161116,11380,142230,90000,149900,1,1,1,0,74.83,"energy_total_location_in"
20161123,673,123013,119100,125300,1,1,0,1,98.21,"energy_total_location_out"
20161123,43966,145725,120100,150100,1,1,1,0,74.83,"energy_total_location_in"
20161130,104,113430,98700,126700,1,1,0,1,98.21,"energy_total_location_out"
20161130,37390,152095,85000,162000,1,1,1,0,74.83,"energy_total_location_in"
20161207,223,127500,127500,127500,1,1,0,1,103.91,"energy_total_location_out"
20161207,68626,157041,86000,170000,1,1,1,0,86.76,"energy_total_location_in"
20161214,3091,137161,120000,150000,1,1,0,1,103.91,"energy_total_location_out"
20161214,94883,169419,116000,179900,1,1,1,0,86.76,"energy_total_location_in"
20161221,8270,162080,120000,165400,1,1,0,1,103.91,"energy_total_location_out"
20161221,69892,174107,101000,180000,1,1,1,0,86.76,"energy_total_location_in"
20161228,483,149336,131700,152900,1,1,0,1,103.91,"energy_total_location_out"
20161228,39939,171637,1e+05,180000,1,1,1,0,86.76,"energy_total_location_in"
20170104,959,145462,136800,151700,1,1,0,1,106.06,"energy_total_location_out"
20170104,19704,168096,85100,174500,1,1,1,0,86.1,"energy_total_location_in"
