date,energy,count,amount,transaction,min_amount,max_amount,location,
20170808,total,"20,145","126,957",,"125,300","128,000",in,
20170808,total,"1,433","114,663",,"106,200","116,700",out,
20170810,total,"26,780","127,779",,"123,500","129,000",in,
20170810,total,87,"116,570",,"115,800","116,800",out,
20170817,total,"31,877","126,781",,"125,000","128,000",in,
20170817,total,32,"116,400",,"116,400","116,400",out,
20170822,total,"35,678","127,497",,"125,400","129,000",in,
20170822,total,322,"115,516",,"114,100","117,800",out,
20170824,total,"16,372","126,890",,"125,900","127,400",in,
20170824,total,226,"115,446",,"115,000","115,800",out,
20170829,total,"17,186","126,391",,"125,000","127,100",in,
20170829,total,93,"112,989",,"112,000","113,000",out,
20170831,total,"30,426","127,021",,"120,000","128,000",in,
20170831,total,117,"113,920",,"113,400","115,800",out,
20170905,total,"59,186","127,579",,"123,800","128,000",in,
20170905,total,562,"114,003",,"108,300","115,900",out,
20170907,total,"35,189","127,179",,"124,600","128,000",in,
20170907,total,681,"116,788",,"116,300","116,800",out,
20170912,total,"12,243","126,140",,"125,100","127,000",in,
20170912,total,147,"113,593",,"112,900","114,400",out,
20170914,total,"46,349","127,421",,"125,200","127,900",in,
20170914,total,"3,011","114,565",,"114,100","116,300",out,
20170919,total,"43,603","127,675",,"126,000","128,000",in,
20170919,total,151,"114,670",,"108,800","116,700",out,
20170921,total,"55,558","127,652",,"125,100","128,000",in,
20170921,total,448,"115,857",,"115,800","116,700",out,
20170926,total,"32,933","127,598",,"125,100","128,000",in,
20170926,total,670,"112,322",,"108,800","116,800",out,
20170928,total,"61,659","127,372",,"125,000","128,000",in,
20170928,total,"2,615","117,332",,"108,300","118,000",out,
20171010,total,"7,928","126,215",,"120,000","127,000",in,
20171010,total,294,"112,600",,"112,600","112,600",out,
20171012,total,"105,024","127,471",,"124,500","128,000",in,
20171012,total,"1,436","113,989",,"107,800","116,800",out,
20171017,total,"42,197","127,453",,"123,000","128,000",in,
20171017,total,782,"114,993",,"113,300","116,800",out,
20171019,total,"51,022","127,672",,"125,500","128,000",in,
20171019,total,887,"114,975",,"114,600","116,800",out,
20171024,total,"56,370","127,927",,"127,000","128,000",in,
20171024,total,481,"113,939",,"108,800","116,800",out,
20171026,total,"128,730","128,159",,"125,000","128,600",in,
20171026,total,212,"111,962",,"108,800","116,800",out,
20171031,total,102211,128238,,126000,129000,in,
20171102,total,18866,127810,,126500,128000,in,
20171107,total,39295,128084,,126000,128600,in,
20171109,total,13004,127612,,126000,128000,in,
20171114,total,6687,125584,,125000,127000,in,
20171116,total,46328,126411,,125100,127000,in,
20171121,total,27844,125645,,124000,126000,in,
20171123,total,6508,122983,,115000,124000,in,
20171128,total,5517,102215,,99000,114000,in,
20171031,total,935,116429,,115500,117500,out,
20171102,total,389,114594,,108800,115800,out,
20171107,total,4599,118208,,114700,119500,out,
20171109,total,501,113595,,107800,116800,out,
20171121,total,1630,108169,,106000,112800,out,
20171128,total,304,95971,,79800,99800,out,
